OBJECTID,TYPE,LOCATION,STATUS,ST_ID,MATERIAL,MAP_MILES,WIDTH_FT,ST_TYPE,ST_TONAGE,TRAIL_NAME,OWNER,ADA,GWSTATUS,TRAILHEAD_,GlobalID,SHAPE_Leng
"1163",Crossing,Martin St Connector,Existing,NA,Brick,0.006692050000000,5.000000000000000,NA,0.000000000000000,Martin St Connector,COR,NO,OPEN,"256",{A99C7AF5-D900-45B1-89CE-65E974AE50DB},0.000119051393570
"1164",Crossing,Martin St Connector,Existing,NA,Asphalt,0.006438560000000,5.000000000000000,NA,0.000000000000000,Martin St Connector,COR,NO,OPEN,"257",{90AB785A-1EBA-41EC-866B-95051941A78C},0.000114589730882
"1165",Crossing,Martin St Connector,Existing,NA,Asphalt,0.010985300000000,5.000000000000000,NA,0.000000000000000,Martin St Connector,COR,NO,OPEN,"252",{5108AA5A-FC48-4C9C-BD0E-B97B1EC54FDE},0.000195498633922
"1166",Crossing,Martin St Connector,Existing,NA,Asphalt,0.009006690000000,5.000000000000000,NA,0.000000000000000,Martin St Connector,COR,NO,OPEN,"255",{7D9D70B5-2A94-4309-A115-0AD0ED7684DE},0.000160286004590
"1167",Crossing,Middle Walnut Creek Segment,Existing,NA,Asphalt,0.011800350000000,10.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,YES,OPEN,"245",{8ACB82BC-23F4-4DA2-A56C-0BDC115D8848},0.000209050994424
"1168",Crossing,Rocky Branch Trail,Existing,NA,Asphalt,0.018243070000000,10.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,YES,OPEN,"279",{1435558C-E11D-48B7-92B6-D4FB36D5B339},0.000318478250199
"1169",Crossing,Eliza Pool Connector,Existing,NA,Asphalt,0.011738860000000,8.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"275",{A96659EE-D6B0-4C01-A489-911DA664D865},0.000187489920582
"1170",Crossing,Eliza Pool Connector,Existing,NA,Asphalt,0.008071810000000,4.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"274",{2274CC2F-A209-41D8-BE6D-3C69AE9D8588},0.000143604310834
"1171",Crossing,Middle Walnut Creek Segment,Existing,NA,Asphalt,0.009022460000000,10.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,YES,OPEN,"274",{59E84B2D-B1CF-4A55-8587-358526929B59},0.000130991702127
"1172",Crossing,Centennial Bikeway Connector,Existing,NA,Asphalt,0.017574020000000,5.000000000000000,NA,0.000000000000000,Centennial Bikeway Connector,COR,NO,OPEN,"68",{200FF670-A6F6-46A2-90DB-0E62C019FC0C},0.000280002022843
"1173",Crossing,Centennial Bikeway Connector,Existing,NA,Asphalt,0.022125630000000,5.000000000000000,NA,0.000000000000000,Centennial Bikeway Connector,COR,NO,OPEN,"71",{213287A3-31AB-466D-AD27-5360587AE463},0.000327839819772
"1174",Crossing,Centennial Bikeway Connector,Existing,NA,Asphalt,0.024079880000000,10.000000000000000,NA,0.000000000000000,Centennial Bikeway Connector,COR,YES,OPEN,"73",{E2B12962-EA16-41D7-B4A1-CA23BFEA18BA},0.000373038208652
"1175",Crossing,Centennial Bikeway Connector,Existing,NA,Asphalt,0.020708810000000,5.000000000000000,NA,0.000000000000000,Centennial Bikeway Connector,COR,NO,OPEN,"77",{1C608384-DDBD-45F9-BABD-A26CC1D4DC96},0.000320602789320
"1176",Crossing,Upper Walnut Segment,Existing,NA,Asphalt,0.014026770000000,10.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,YES,OPEN,"370",{F6B685C7-03F9-45D0-9447-8BA113E8CD18},0.000248841413990
"1177",Crossing,Lake Johnson Segment,Existing,NA,Asphalt,0.005668880000000,8.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"368",{0A6A7479-D977-41BD-A50D-E3FDF53BEB44},0.000100808406189
"1178",Crossing,Lake Johnson Segment,Existing,NA,Asphalt,0.008213720000000,8.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"191",{9F9D62EE-0B6A-4458-B10E-CE2897E91EC1},0.000133275225802
"1179",Crossing,Rocky Branch Trail,Existing,NA,Asphalt,0.007060200000000,10.000000000000000,NA,0.000000000000000,Rocky Branch Trail,COR,YES,OPEN,"334",{9AD2BC4B-A96D-4C3E-869C-1ED07493D04D},0.000112010994220
